10/25,3:00:00 PM,Nicole,19,19,19,19,19,19,2,2,4,8,6,8,6,4,2,0
10/25,3:20:00 PM,Nicole,2,2,2,3,4,10,11,5,7,8,8,8,8,5,6,0
10/25,3:40:00 PM,Nicole,6,3,3,1,1,1,1,1,2,4,4,4,2,3,3,1
10/25,4:00:00 PM,Nicole,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2
10/25,4:20:00 PM,Nicole,2,2,4,4,4,4,4,5,5,1,4,6,1,1,1,11
10/25,4:40:00 PM,Nicole,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,0
10/26,5:40:00 PM,Penny,8,7,6,6,1,1,3,3,3,3,2,2,1,0,0,1
10/26,12:00:00 PM,Penny,1,2,2,3,2,2,4,3,3,1,1,1,1,1,5,0
10/26,12:20:00 PM,Penny,4,1,2,1,5,2,1,3,2,2,3,2,4,4,2,1
10/26,12:40:00 PM,Penny,0,0,3,3,2,1,1,3,3,4,0,0,0,3,5,2
10/26,1:00:00 PM,Penny,5,5,0,2,0,1,4,9,7,3,5,4,4,3,3,2
10/26,1:20:00 PM,Penny,8,6,6,5,4,3,5,3,1,1,1,0,0,0,0,0
10/27,1:20:00 PM,Penny,8,9,9,5,6,0,0,0,0,0,0,0,1,1,0,2
10/27,1:40:00 PM,Penny,5,4,3,2,2,4,4,4,5,7,5,7,6,6,9,0
10/27,2:00:00 PM,Penny,3,1,1,1,0,0,0,0,0,2,0,0,5,3,4,0
10/27,2:20:00 PM,Penny,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1
10/27,2:40:00 PM,Penny,0,3,1,2,3,4,4,1,1,1,1,2,2,2,3,0
10/27,3:00:00 PM,Penny,3,0,3,2,4,7,5,4,4,1,0,1,3,6,2,0
10-28-17,5:00:00 PM,Bradley,10,5,11,13,15,15,14,7,4,4,4,5,8,4,4,0
10-28-17,5:20:00 PM,Bradley,2,6,6,11,15,10,11,7,8,10,10,13,9,4,6,2
10-28-17,5:40:00 PM,Bradley,5,7,10,11,13,11,8,11,11,9,10,7,6,5,10,0
10-28-17,12:00:00 PM,Bradley,0,0,0,4,7,9,5,5,5,8,10,6,7,3,0,1
10-28-17,12:20:00 PM,Bradley,7,3,3,6,6,6,4,8,10,6,8,5,5,3,1,0
10-28-17,12:40:00 PM,Bradley,9,9,11,6,6,3,3,3,3,7,8,8,9,9,8,0
10-29-17,9:00:00 AM,Bradley,6,6,6,8,7,7,6,4,4,8,3,3,3,5,7,0
10-29-17,9:20:00 AM,Bradley,6,8,8,4,5,5,5,7,7,4,8,8,5,5,5,0
10-29-17,9:40:00 AM,Bradley,8,5,5,8,2,6,6,8,4,3,3,7,9,10,9,0
10-29-17,10:00:00 AM,Bradley,10,7,7,7,5,7,9,9,9,11,8,4,4,3,3,3
10-29-17,10:20:00 AM,Bradley,7,9,9,9,5,5,3,2,0,0,0,0,4,4,0,1
10-29-17,10:40:00 AM,Bradley,3,5,5,5,9,9,11,12,14,11,11,9,9,7,4,0
10/31,9:00:00 AM,Monica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31,9:20:00 AM,Monica,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2
10/31,9:40:00 AM,Monica,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,1
10/31,10:00:00 AM,Nicole,7,7,7,7,4,5,2,4,3,6,4,4,3,5,5,1
10/31,10:20:00 AM,Nicole,5,7,5,5,3,6,7,6,6,7,3,4,3,6,9,0
10/31,10:40:00 AM,Nicole,4,5,3,2,1,4,5,4,2,2,5,5,5,5,7,0
10/31,5:20:00 PM,Monica,6,7,5,6,6,4,2,0,0,0,0,3,3,3,3,0
10/31,5:40:00 PM,Monica,3,3,2,2,1,0,0,0,0,1,2,1,1,1,2,0
