Date,Time,Observer,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,15
10/17,1:20:00 PM,Hannah,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,2
10/17,1:40:00 PM,Hannah,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10/17,2:00:00 PM,Hannah,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
10/14,12:00:00 PM,Bradley,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
10/14,12:20:00 PM,Bradley,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
10/14,12:40:00 PM,Bradley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10/14,1:00:00 PM,Bradley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/14,1:20:00 PM,Bradley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/14,1:40:00 PM,Bradley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10/17,9:00:00 AM,Monica,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
10/17,9:20:00 AM,Monica,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
10/17,9:40:00 AM,Monica,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10/17,10:20:00 AM,Nicole,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/17,10:40:00 AM,Nicole,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
10/17,5:00:00 PM,Nicole,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10/19,5:20:00 PM,Monica,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,4
10/19,5:40:00 PM,Monica,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
10/19,12:00:00 PM,Monica,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10/19,12:20:00 PM,Monica,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
10/19,12:40:00 PM,Monica,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0
10/19,1:00:00 PM,Monica,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
10/22,9:00:00 AM,Monica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
