Date,Time,Observer,Where,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10/18,4:20:00 PM,Penny,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/18,4:40:00 PM,Penny,R,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0
10/25,12:40:00 PM,Penny,L,0,2,0,0,2,1,1,1,1,0,1,1,1,0,1
10/25,1:00:00 PM,Penny,M,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2
10/25,1:20:00 PM,Penny,R,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0
10/25,1:40:00 PM,Penny,L,1,1,0,1,2,0,3,1,0,0,0,0,1,0,0
10/25,2:00:00 PM,Penny,M,0,1,1,1,2,0,3,1,1,0,0,0,0,0,1
10/25,2:20:00 PM,Penny,R,1,1,0,0,0,2,5,2,0,2,2,3,4,2,3
10/26,5:40:00 PM,Penny,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/26,12:00:00 PM,Penny,M,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
10/26,12:20:00 PM,Penny,L,1,0,0,4,0,0,0,0,0,1,1,2,0,3,1
10/26,12:40:00 PM,Penny,R,2,1,1,1,1,2,2,3,2,1,3,3,7,3,2
10/26,1:00:00 PM,Penny,L,5,2,2,2,1,0,2,2,3,4,2,2,5,8,11
10/26,1:20:00 PM,Penny,M,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
10/27,1:20:00 PM,Penny,L,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
10/27,1:40:00 PM,Penny,M,1,1,2,4,2,1,1,1,1,0,0,1,3,0,0
10/27,2:00:00 PM,Penny,R,1,1,1,1,2,0,0,0,1,0,2,1,1,0,1
10/27,2:20:00 PM,Penny,L,0,1,1,1,0,1,0,0,1,0,0,1,1,0,2
10/27,2:40:00 PM,Penny,M,2,0,0,3,0,0,0,0,0,1,1,2,0,2,2
10/27,3:00:00 PM,Penny,R,0,0,0,0,0,0,2,0,0,1,1,1,0,1,0
10/31,9:00:00 AM,Monica,L,0,1,0,1,1,1,2,2,0,,0,0,1,0,2
10/31,9:20:00 AM,Monica,M,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0
10/31,9:40:00 AM,Monica,R,1,1,3,1,0,1,2,3,1,0,1,0,1,0,0
10/31,5:20:00 PM,Monica,L,2,1,0,0,1,0,0,0,2,2,0,0,1,0,1
10/31,5:40:00 PM,Monica,L,0,2,1,2,0,1,0,0,2,2,0,0,1,0,0
10/31,12:00:00 PM,Monica,M,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0
10/31,12:20:00 PM,Monica,M,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
10/31,12:40:00 PM,Monica,R,0,0,0,0,0,0,0,0,0,1,2,1,1,0,2
10/31,1:00:00 PM,Monica,R,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
11/1,12:40:00 PM,Penny,L,2,1,2,2,0,0,1,1,0,1,0,0,0,0,1
11/1,1:00:00 PM,Penny,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/1,1:20:00 PM,Penny,R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11/1,1:40:00 PM,Penny,L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11/1,2:00:00 PM,Penny,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11/1,2:20:00 PM,Penny,R,1,0,1,1,2,3,3,1,2,1,0,1,0,1,0
10/31,10:00:00 AM,Nicole,R,3,0,3,1,4,2,1,5,2,4,3,4,1,3,3
10/31,10:20:00 AM,Nicole,L,1,0,1,1,1,0,0,0,1,2,2,2,0,0,1
10/31,10:40:00 AM,Nicole,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/1,3:00:00 PM,Nicole,R,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
11/1,3:20:00 PM,Nicole,M,1,0,1,1,1,2,1,0,3,0,0,1,0,1,2
11/1,3:40:00 PM,Nicole,L,2,0,0,0,0,0,0,0,0,2,1,4,1,1,1
10-28-17,5:00:00 PM,Bradley,L,0,1,0,0,2,1,0,1,0,0,0,1,1,1,1
10-28-17,5:20:00 PM,Bradley,M,0,0,0,0,1,2,1,0,0,0,0,1,1,1,0
10-28-17,5:40:00 PM,Bradley,R,0,0,1,1,1,0,0,1,2,1,0,1,0,2,0
10-28-17,12:00:00 PM,Bradley,R,1,2,1,0,1,1,1,0,2,3,1,0,0,0,0
10-28-17,12:20:00 PM,Bradley,M,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0
10-28-17,12:40:00 PM,Bradley,L,1,0,0,0,2,0,0,1,0,0,1,0,2,0,0
10-29-17,9:00:00 AM,Bradley,L,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
10-29-17,9:20:00 AM,Bradley,M,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0
10-29-17,9:40:00 AM,Bradley,R,1,0,1,1,0,0,1,1,0,0,1,2,0,1,1
10-29-17,10:00:00 AM,Bradley,R,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0
10-29-17,10:20:00 AM,Bradley,M,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1
10-29-17,10:40:00 AM,Bradley,L,0,0,0,0,1,1,0,1,1,0,0,1,2,0,0
11/3,9:00:00 AM,Monica,L,2,2,3,0,1,0,0,2,0,0,1,1,0,0,1
11/3,9:20:00 AM,Monica,M,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
11/3,9:40:00 AM,Monica,R,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
11/3,2:00:00 PM,Penny,L,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
11/3,2:20:00 PM,Penny,M,0,0,0,1,0,2,2,4,1,1,0,0,0,0,2
11/3,2:40:00 PM,Penny,R,2,3,1,1,1,1,1,1,1,1,1,1,1,0,1
11/3,3:00:00 PM,Penny,L,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
11/3,3:20:00 PM,Penny,M,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
11/3,3:40:00 PM,Penny,R,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
10/18,10:00:00 AM,Hannah,M,2,1,1,0,1,0,1,0,0,1,2,2,2,1,1
10/18,10:20:00 AM,Hannah,L,0,0,2,1,0,1,0,1,0,2,0,0,0,0,0
10/18,10:40:00 AM,Hannah,R,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10/18,5:00:00 PM,Hannah,M,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0
10/18,5:20:00 PM,Hannah,R,0,1,0,1,0,1,1,3,0,0,0,2,0,1,1
10/18,5:40:00 PM,Hannah,M,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
11/2,9:00:00 AM,Hannah,M,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11/2,9:20:00 AM,Hannah,R,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0
11/2,9:40:00 AM,Hannah,R,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
11/5,10:20:00 AM,Hannah,L,1,2,1,0,0,0,1,0,0,2,0,1,2,1,1
11/5,10:40:00 AM,Hannah,L,2,0,1,0,0,0,1,3,0,0,1,1,0,1,2
11/5,5:00:00 PM,Hannah,L,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11/5,5:40:00 PM,Hannah,M,1,2,1,1,0,1,1,0,2,1,1,0,1,0,0
11/5,12:00:00 PM,Hannah,R,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
11/5,12:20:00 PM,Hannah,M,0,0,1,1,1,0,1,1,1,3,0,0,0,1,1
11/5,1:00:00 PM,Hannah,R,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0
11/7,9:00:00 AM,Monica,L,2,2,1,0,0,1,0,0,0,0,0,0,2,1,1
11/7,9:20:00 AM,Monica,M,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
11/7,9:40:00 AM,Monica,R,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
11/7,1:20:00 PM,Penny,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
11/7,1:40:00 PM,Penny,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
11/7,2:00:00 PM,Penny,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,
11/7,2:20:00 PM,Penny,0,0,0,1,0,2,2,4,1,1,0,0,0,0,2,
11/7,2:40:00 PM,Penny,2,3,1,1,1,1,1,1,1,1,1,1,1,0,1,
11/7,3:00:00 PM,Penny,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,
11/7,3:20:00 PM,Penny,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,
11/7,3:40:00 PM,Penny,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,
11/9,9:00:00 AM,Nicole,R,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
11/9,9:20:00 AM,Nicole,M,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11/10,10:20:00 AM,Nicole,L,0,0,0,1,0,0,1,2,2,1,1,0,0,1,0
11/10,10:40:00 AM,Nicole,R,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11/10,2:20:00 PM,Nicole,L,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
11/10,2:40:00 PM,Nicole,M,0,1,0,0,1,3,0,3,0,1,1,0,0,0,1
11/10,3:00:00 PM,Nicole,R,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0
11/10,3:20:00 PM,Nicole,L,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0
11/10,3:40:00 PM,Nicole,M,0,0,0,1,3,3,0,0,0,1,0,3,3,2,1
11/10,4:00:00 PM,Nicole,R,1,0,0,1,0,0,0,0,2,0,1,2,1,0,0
11/10,4:20:00 PM,Nicole,L,0,1,1,0,0,1,2,1,2,2,0,1,1,0,0
11/10,4:40:00 PM,Nicole,M,0,0,0,0,0,1,0,0,1,2,2,0,0,2,0
11/11,2:00:00 PM,Nicole,L,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
11/11,2:20:00 PM,Nicole,M,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
11/11,2:40:00 PM,Nicole,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11,3:00:00 PM,Nicole,L,0,0,0,1,1,1,0,0,3,0,0,0,0,0,1
11/11,3:20:00 PM,Nicole,M,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
11/11,3:40:00 PM,Nicole,R,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11/11,4:00:00 PM,Nicole,L,0,0,0,0,1,0,2,0,0,2,0,0,1,1,0
11/11,4:20:00 PM,Nicole,M,0,0,1,0,3,0,0,0,1,0,0,0,2,0,0
11/4,9:00:00 AM,Bradley,L,0,0,2,0,0,0,0,0,0,0,2,1,4,6,1
11/4,9:20:00 AM,Bradley,M,0,0,0,1,1,3,0,1,2,1,5,1,3,0,4
11/4,9:40:00 AM,Bradley,R,1,1,0,2,2,0,0,0,0,0,2,0,0,1,1
11/4,10:00:00 AM,Bradley,R,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0
11/4,10:20:00 AM,Bradley,M,0,0,0,1,2,1,1,2,0,2,0,0,0,0,0
11/4,10:40:00 AM,Bradley,L,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/12,9:00:00 AM,Bradley,L,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
11/12,9:20:00 AM,Bradley,M,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0
11/12,9:40:00 AM,Bradley,R,0,0,0,0,0,0,0,1,1,2,2,1,2,3,2
11/12,10:00:00 AM,Bradley,R,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11/12,10:20:00 AM,Bradley,M,1,1,1,0,0,1,0,1,0,1,2,2,2,1,2
11/12,10:40:00 AM,Bradley,L,1,1,2,0,1,0,0,2,0,1,1,0,0,0,0
11/12,2:00:00 PM,Bradley,L,1,2,0,1,2,0,3,0,1,1,0,1,2,0,1
11/12,2:20:00 PM,Bradley,M,0,0,1,0,1,1,0,1,2,0,1,0,1,0,0
11/12,2:40:00 PM,Bradley,R,0,0,1,2,0,1,2,1,0,0,1,0,0,0,2
11/12,3:00:00 PM,Bradley,R,1,1,2,1,0,0,1,0,1,1,0,1,0,0,1
11/12,3:20:00 PM,Bradley,M,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0
11/12,3:40:00 PM,Bradley,L,0,0,0,0,0,0,2,0,0,0,1,0,1,1,2
11/13,5:20:00 PM,Bradley,L,1,0,2,3,2,0,0,3,3,1,2,0,1,0,1
11/13,5:40:00 PM,Bradley,M,2,0,0,1,2,1,0,0,1,3,1,0,1,0,2
11/13,12:00:00 PM,Bradley,R,0,0,0,0,0,2,1,0,1,2,0,2,3,0,1
11/13,12:20:00 PM,Bradley,R,3,0,1,0,2,2,0,1,0,1,2,0,1,4,2
11/13,12:40:00 PM,Bradley,M,3,2,0,1,1,0,0,1,0,2,0,0,1,0,0
11/13,1:00:00 PM,Bradley,L,2,1,0,0,3,1,2,1,3,0,2,1,0,2,3
11/12,5:00:00 PM,Nicole,L,2,1,1,2,1,4,0,1,1,0,1,2,0,1,1
11/12,5:20:00 PM,Nicole,M,3,1,2,0,2,2,1,1,0,3,2,1,1,2,4
11/12,5:40:00 PM,Nicole,R,1,0,1,2,3,0,3,1,1,1,1,0,1,0,1
11/12,12:00:00 PM,Nicole,R,3,4,3,0,2,0,1,0,1,0,1,1,2,1,0
11/12,12:20:00 PM,Nicole,M,1,1,0,2,3,1,0,2,3,0,0,2,0,0,3
11/2,12:40:00 PM,Nicole,L,1,3,2,0,0,1,3,2,2,2,3,2,2,2,1
11/14,9:00:00 AM,Monica,L,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
11/14,9:20:00 AM,Monica,M,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
11/14,9:40:00 AM,Monica,R,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0
11/6,1:00:00 PM,Hannah,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6,1:20:00 PM,Hannah,R,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
11/6,1:40:00 PM,Hannah,R,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11/6,2:00:00 PM,Hannah,R,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
11/8,1:40:00 PM,Hannah,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/8,2:00:00 PM,Hannah,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11/8,2:20:00 PM,Hannah,L,1,0,0,0,0,0,0,0,2,0,1,1,1,0,0
11/10,5:20:00 PM,Hannah,R,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11/10,5:40:00 PM,Hannah,R,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11/10,12:00:00 PM,Hannah,R,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
11/10,12:20:00 PM,Hannah,M,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2
11/10,12:40:00 PM,Hannah,M,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
11/10,1:00:00 PM,Hannah,M,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0
11/10,1:20:00 PM,Hannah,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/10,1:40:00 PM,Hannah,L,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11/10,2:00:00 PM,Hannah,L,0,0,0,0,0,1,1,1,2,0,0,1,1,1,0
