Date,Time,Observer,Weather,Wind Speed,Notes
11/6/2017,13:40,Hannah,Sunny,5,
11/6/2017,14:00,Hannah,Sunny,5,
11/7/2017,9:00,Monica,Sunny,5,
11/7/2017,9:20,Monica,Sunny,5,
11/7/2017,9:40,Monica,Sunny,5,
11/7/2017,13:20,Penny,Sunny,5,
11/7/2017,13:40,Penny,Sunny,5,
11/7/2017,14:00,Penny,Sunny,5,
11/7/2017,14:20,Penny,Sunny,5,
11/7/2017,14:40,Penny,Sunny,5,
11/7/2017,15:00,Penny,Sunny,5,
11/7/2017,15:20,Penny,Sunny,5,
11/7/2017,15:40,Penny,Sunny,5,
11/9/2017,9:00,Nicole,Cloudy,5,
11/9/2017,9:20,Nicole,Cloudy,5,
11/10/2017,10:20,Nicole,Sunny,10,
11/10/2017,10:40,Nicole,Sunny,10,
11/10/2017,14:20,Nicole,Sunny,5,
11/10/2017,14:40,Nicole,Sunny,5,
11/10/2017,15:00,Nicole,Sunny,5,
11/10/2017,15:20,Nicole,Sunny,5,
11/10/2017,15:40,Nicole,Sunny,5,
11/10/2017,16:00,Nicole,Sunny,5,
11/10/2017,16:20,Nicole,Sunny,5,
11/10/2017,16:40,Nicole,Sunny,5,
11/11/2017,14:00,Nicole,Sunny,5,
11/11/2017,14:20,Nicole,Sunny,5,
11/11/2017,14:40,Nicole,Sunny,5,
11/11/2017,15:00,Nicole,Sunny,5,
11/11/2017,15:20,Nicole,Sunny,5,
11/11/2017,15:40,Nicole,Sunny,5,
11/11/2017,16:00,Nicole,Sunny,5,
11/11/2017,16:20,Nicole,Sunny,5,
11/8/2017,13:40,Hannah,Cloudy,5,
11/8/2017,14:00,Hannah,Cloudy,5,
11/8/2017,14:20,Hannah,Cloudy,5,
11/10/2017,17:20,Hannah,Sunny,10,
11/10/2017,17:40,Hannah,Sunny,10,
11/10/2017,12:00,Hannah,Sunny,10,
11/10/2017,12:20,Hannah,Sunny,10,
11/10/2017,12:40,Hannah,Sunny,10,
11/10/2017,13:00,Hannah,Sunny,10,
11/10/2017,13:20,Hannah,Sunny,10,
11/10/2017,13:40,Hannah,Sunny,10,
11/10/2017,14:00,Hannah,Sunny,10,
11/4/2017,9:00,Bradley,Sunny,5,
11/4/2017,9:20,Bradley,Sunny,0,
11/4/2017,9:40,Bradley,Sunny,0,
11/4/2017,10:00,Bradley,Sunny,0,
11/4/2017,10:20,Bradley,Sunny,0,
11/4/2017,10:40,Bradley,Sunny,0,
11/12/2017,9:00,Bradley,Cloudy,0,
11/12/2017,9:20,Bradley,Cloudy,0,
11/12/2017,9:40,Bradley,Cloudy,0,
11/12/2017,10:00,Bradley,Cloudy,0,
11/12/2017,10:20,Bradley,Cloudy,0,
11/12/2017,10:40,Bradley,Cloudy,0,
11/12/2017,14:00,Bradley,Sunny,10,
11/12/2017,14:20,Bradley,Sunny,10,
11/12/2017,14:40,Bradley,Sunny,10,
11/12/2017,15:00,Bradley,Sunny,10,
11/12/2017,15:20,Bradley,Sunny,10,
11/12/2017,15:40,Bradley,Sunny,10,
11/13/2017,17:20,Bradley,Cloudy,10,
11/13/2017,17:40,Bradley,Cloudy,10,
11/13/2017,12:00,Bradley,Cloudy,10,
11/13/2017,12:20,Bradley,Cloudy,10,
11/13/2017,12:40,Bradley,Cloudy,10,
11/13/2017,13:00,Bradley,Cloudy,10,
11/12/2017,17:00,Nicole,Cloudy,5,
11/12/2017,17:20,Nicole,Cloudy,5,
11/12/2017,17:40,Nicole,Cloudy,5,
11/12/2017,12:00,Nicole,Cloudy,5,
11/12/2017,12:20,Nicole,Partly Cloudy,5,
11/2/2017,12:40,Nicole,Partly Cloudy,5,
11/14/2017,9:00,Monica,Partly Cloudy,5,
11/14/2017,9:20,Monica,Partly Cloudy,5,
11/14/2017,9:40,Monica,Partly Cloudy,5,
