Date,Time,Observer,Where,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10/27,2:20:00 PM,Penny,L,1,2,5,4,4,2,3,4,2,7,2,2,3,3,1
10/27,2:40:00 PM,Penny,M,0,0,2,0,3,1,2,5,0,1,0,1,1,0,2
10/27,3:00:00 PM,Penny,R,1,2,2,3,2,0,3,3,0,2,2,1,3,3,1
10/31,9:00:00 AM,Monica,L,5,4,1,3,2,2,3,5,2,2,1,2,1,3,2
10/31,9:20:00 AM,Monica,M,1,4,6,8,6,6,3,4,7,3,4,7,3,2,5
10/31,9:40:00 AM,Monica,R,3,3,2,4,1,3,4,6,6,5,7,4,2,1,3
10/31,5:20:00 PM,Monica,L,9,8,10,11,9,8,9,11,12,13,13,12,9,7,6
10/31,5:40:00 PM,Monica,L,5,9,7,12,11,7,13,5,10,13,10,8,7,8,10
10/31,12:00:00 PM,Monica,M,16,14,10,15,20,11,9,8,7,8,9,7,10,12,15
10/31,12:20:00 PM,Monica,M,16,15,19,13,17,21,22,19,17,17,14,10,9,8,9
10/31,12:40:00 PM,Monica,R,3,5,6,6,7,9,7,8,5,4,4,3,2,4,5
10/31,1:00:00 PM,Monica,R,2,4,2,2,1,3,4,5,6,6,2,1,2,2,3
11/1,12:40:00 PM,Penny,L,3,5,9,1,5,7,9,8,8,5,3,4,2,2,3
11/1,1:00:00 PM,Penny,M,6,5,3,2,2,3,4,1,0,0,3,3,2,2,1
11/1,1:20:00 PM,Penny,R,2,2,3,7,3,4,2,2,3,3,3,2,1,1,2
11/1,1:40:00 PM,Penny,L,4,6,3,1,2,4,2,3,3,2,3,7,4,3,2
11/1,2:00:00 PM,Penny,M,1,1,2,2,1,3,1,1,1,1,2,0,1,3,2
11/1,2:20:00 PM,Penny,R,3,2,3,3,1,1,3,1,1,2,1,3,1,1,0
10/31,10:00:00 AM,Nicole,R,9,11,7,13,8,6,6,5,6,3,8,5,5,1,7
10/31,10:20:00 AM,Nicole,L,4,8,7,12,5,10,6,8,4,8,7,6,10,9,7
10/31,10:40:00 AM,Nicole,M,6,11,6,4,10,10,12,8,11,10,4,8,7,9,10
11/1,3:00:00 PM,Nicole,R,1,0,3,2,1,0,5,1,3,3,1,1,2,3,1
11/1,3:20:00 PM,Nicole,M,2,3,1,3,2,1,3,1,0,2,3,6,3,2,3
11/1,3:40:00 PM,Nicole,L,1,3,1,2,2,0,2,4,0,0,0,0,0,3,1
10-28-17,5:00:00 PM,Bradley,L,4,7,8,5,10,11,8,5,10,7,3,5,8,7,10
10-28-17,5:20:00 PM,Bradley,M,6,12,10,8,7,5,13,11,14,10,11,10,5,7,11
10-28-17,5:40:00 PM,Bradley,R,5,9,7,9,12,8,11,7,12,15,8,14,10,7,14
10-28-17,12:00:00 PM,Bradley,R,14,11,7,11,9,12,10,12,15,13,17,14,15,11,16
10-28-17,12:20:00 PM,Bradley,M,3,7,9,10,6,7,5,6,9,3,3,2,5,4,2
10-28-17,12:40:00 PM,Bradley,L,4,5,2,4,2,4,3,2,5,3,2,2,3,3,5
10-29-17,9:00:00 AM,Bradley,L,11,14,13,8,6,7,8,11,13,15,12,11,7,9,8
10-29-17,9:20:00 AM,Bradley,M,10,15,16,9,10,7,7,9,16,13,6,8,10,13,17
10-29-17,9:40:00 AM,Bradley,R,14,16,13,8,14,16,10,11,10,15,13,17,9,10,11
10-29-17,10:00:00 AM,Bradley,R,12,9,7,12,10,11,14,16,11,8,9,19,10,12,9
10-29-17,10:20:00 AM,Bradley,M,15,14,10,12,9,12,10,14,16,12,14,10,11,8,10
10-29-17,10:40:00 AM,Bradley,L,18,12,12,17,12,7,11,10,9,14,12,8,8,11,15
11/3,9:00:00 AM,Monica,L,6,2,8,3,4,4,3,6,5,7,5,7,6,6,8
11/3,9:20:00 AM,Monica,M,5,3,2,7,9,12,14,12,11,7,8,9,10,6,5
11/3,9:40:00 AM,Monica,R,4,3,2,1,1,3,3,4,7,5,9,10,12,7,3
11/3,2:00:00 PM,Penny,L,2,5,2,5,2,1,3,1,5,3,0,0,3,1,3
11/3,2:20:00 PM,Penny,M,3,0,3,0,0,0,1,3,2,4,3,6,3,3,2
11/3,2:40:00 PM,Penny,R,0,0,4,1,1,2,2,1,2,2,1,1,2,3,2
11/3,3:00:00 PM,Penny,L,2,2,2,1,2,3,2,4,0,2,2,2,4,2,2
11/3,3:20:00 PM,Penny,M,0,1,0,1,2,1,1,1,1,4,3,1,2,3,0
11/3,3:40:00 PM,Penny,R,2,3,2,1,4,3,2,2,4,2,0,2,2,2,3
10/18,10:00:00 AM,Hannah,M,9,4,9,3,3,4,6,3,2,4,4,9,5,6,2
10/18,10:20:00 AM,Hannah,L,2,0,2,6,3,1,6,3,4,6,4,3,2,1,1
10/18,10:40:00 AM,Hannah,R,0,0,0,0,2,3,2,2,1,3,5,2,3,2,0
10/18,5:00:00 PM,Hannah,M,2,0,7,2,1,2,1,1,1,6,4,6,2,1,1
10/18,5:20:00 PM,Hannah,R,1,2,2,4,2,4,1,3,6,2,7,6,9,6,4
10/18,5:40:00 PM,Hannah,M,4,2,4,6,4,4,4,6,3,3,5,3,3,4,4
11/2,9:00:00 AM,Hannah,M,6,7,3,3,4,4,5,3,2,3,4,5,6,2,3
11/2,9:20:00 AM,Hannah,R,7,3,7,5,6,8,6,6,4,5,5,5,8,4,6
11/2,9:40:00 AM,Hannah,R,5,10,7,5,6,6,5,5,3,3,9,6,4,7,5
11/5,10:20:00 AM,Hannah,L,3,5,4,5,5,4,3,2,4,3,4,4,5,7,4
11/5,10:40:00 AM,Hannah,L,3,9,3,1,6,5,5,4,5,3,6,4,4,4,4
11/5,5:00:00 PM,Hannah,L,4,3,9,8,9,6,6,4,7,9,6,2,5,5,3
11/5,5:40:00 PM,Hannah,M,4,2,5,3,6,4,4,6,4,3,3,3,3,7,4
11/5,12:00:00 PM,Hannah,R,3,2,3,4,6,5,5,4,5,3,3,5,4,4,3
11/5,12:20:00 PM,Hannah,M,3,2,3,2,3,8,3,5,2,3,1,3,3,4,1
11/5,1:00:00 PM,Hannah,R,3,1,2,2,2,3,0,1,3,3,2,1,0,3,3
11/7,9:00:00 AM,Monica,L,6,2,7,3,5,4,3,7,4,7,4,7,5,5,8
11/7,9:20:00 AM,Monica,M,5,3,5,3,4,4,6,8,7,5,4,7,3,6,4
11/7,9:40:00 AM,Monica,R,4,3,2,1,0,2,3,4,5,3,7,8,4,3,4
11/7,1:20:00 PM,Penny,L,2,4,3,7,3,4,5,2,3,3,1,2,1,3,2
11/7,1:40:00 PM,Penny,M,4,6,2,1,2,4,3,3,3,1,5,7,4,1,2
11/7,2:00:00 PM,Penny,R,2,5,2,5,2,1,3,1,5,3,0,0,3,1,3
11/7,2:20:00 PM,Penny,L,3,0,3,0,0,0,1,3,2,4,3,6,3,3,2
11/7,2:40:00 PM,Penny,M,0,0,4,1,1,2,2,1,2,2,1,1,2,3,2
11/7,3:00:00 PM,Penny,R,2,2,2,1,2,3,2,4,0,2,2,2,4,2,2
